pk,main_category,sub_category,name,sku,price,description,image,rating
16,1,"[1,3]",Jr100 Skipping Rope,015016,1.99,Our team created the JR100 Skipping Rope with an improved ergonomic handle. It is perfect for skipping up to twice a week!Want to start skipping rope easily? The ergonomic handles and easy adjustment make our JR100 Skipping Rope extremely comfortable to use.,jr100-skipping-rope.jpg,1.3
17,2,[9],"Natural Energy Bar - Choc Salt Caramel - Vegan, Gluten & Dairy Free",025017,1.99,TRIBE Infinity Bars are 100% natural and delicious.They are made in Wales from the highest natural ingredients and are designed to deliver amazing taste and outstanding performance nutrition.,natural-energy-bar-choc-salt-caramel-vegan-gluten-and-dairy-free.jpg,3.1
18,2,[10],"Natural Energy Drink Vegan & Gluten Free Drink, Original Recipe, 250Ml",025018,1.99,TENZING Natural Energy. Purely From PlantsEvery can of TENZING Natural Energy is crafted from seven key natural ingredients. It contains only 48 calories per can and zero artificial additives.,natural-energy-drink-vegan-and-gluten-free-drink-original-recipe-250ml.jpg,5.0
19,2,[10],"Natural Energy Vegan & Gluten Free Drink, Raspberry & Yuzu, 250Ml",025019,1.99,TENZING Natural Energy. Purely From PlantsInspired by Sherpa Tenzing and the energising brews of the Himalayan Sherpas. This blend with British Raspberry and Japanese Yuzu creates a crisp and refreshing taste. Enjoy.,natural-energy-vegan-and-gluten-free-drink-raspberry-and-yuzu-250ml.jpg,2.2
20,2,[9],"Natural Plant Protein Bar - Choc Peanut - Vegan, Gluten & Dairy Free",025020,1.99,TRIBE Protein Bars are 100% natural and delicious.They are made in Wales from the highest natural ingredients and are designed to deliver amazing taste and outstanding performance nutrition.,natural-plant-protein-bar-choc-peanut-vegan-gluten-and-dairy-free.jpg,2.3
21,2,[9],"Natural Plant Protein Bar - White Choc + Raspberry - Vegan, Gluten & Dairy Free",025021,1.99,TRIBE Protein Bars are 100% natural and delicious.They are made in Wales from the highest natural ingredients and are designed to deliver amazing taste and outstanding performance nutrition.,natural-plant-protein-bar-white-choc-raspberry-vegan-gluten-and-dairy-free.jpg,3.2
22,2,[9],Pro 2Go Gooey Bar Salted Caramel 60G,025022,1.99,"Anyone whoâ€™s looking to top up their protein intake. Those who lead a busy lifestyle and want to snack happy away from high sugar products.Delicious fusions of flavor coat every ounce of our high protein, low sugar bars. Perfect for those who refuse to compromise on taste, we know youâ€™ll find it hard to stop at just one.",pro-2go-gooey-bar-salted-caramel-60g.jpg,1.7
23,2,[9],Protein Bar - Choco-Caramel,025023,1.99,Our team created this chocolate caramel protein bar (22 g) for a snack after a workout or at any time of day. Sold individually.Why not replace your usual post-workout shake with a protein bar to boost or maintain your muscle mass? Try our delicious WHEY PROTEIN BAR with 22 g of protein!,protein-bar-choco-caramel.jpg,4.1
24,2,[9],Protein Bar - Chocolate-Hazelnuts,025024,1.99,Our team created this chocolate hazelnut protein bar (22 g) for a snack after a workout or at any time of day. Sold by the unit.Why not replace your usual post-workout shake with a protein bar to boost or maintain your muscle mass? Try our delicious WHEY PROTEIN BAR with 22 g of protein!,protein-bar-chocolate-hazelnuts.jpg,3.8
25,2,[9],Protein Bar White Chocolate Coconut 45 G,025025,1.99,"Designed to provide protein after a medium to long workout to assist recovery.A bar with high protein and carbohydrate content, for use within 30 minutes after exercise. Ideally consume together with a recovery drink.",protein-bar-white-chocolate-coconut-45-g.jpg,4.4
